,name,in_place_oil_mill_sm3,recoverable_oil,pdo_approved_date,producing_date,shutdown_date,shutdown
0,ALBUSKJELL,55.7,7.4,25.04.1975,26.05.1979,26.08.1998,True
1,ALVE,5.9,1.7,16.03.2007,18.03.2009,,False
2,ALVHEIM,105.7,43.3,06.10.2004,07.06.2008,,False
3,ATLA,0.4,0.3,04.11.2011,06.10.2012,,False
4,BALDER,187.6,71.5,02.02.1996,02.10.1999,,False
5,BLANE,3.1,0.9,01.07.2005,11.09.2007,,False
6,BRAGE,156.9,60.7,29.03.1990,23.09.1993,,False
7,BRYNHILD,9.4,3.7,11.11.2011,23.12.2014,,False
8,BØYLA,8.9,3.4,26.10.2012,18.01.2015,,False
9,COD,4.5,2.9,04.05.1973,26.12.1977,05.08.1998,True
10,DRAUGEN,212.0,145.7,19.12.1988,19.10.1993,,False
11,EDDA,16.3,4.8,25.04.1975,02.12.1979,05.08.1998,True
12,EDVARD GRIEG,69.4,26.2,11.06.2012,,,False
13,EKOFISK,1134.2,553.9,01.03.1972,15.06.1971,,False
14,ELDFISK,438.8,133.9,25.04.1975,08.08.1979,,False
15,EMBLA,48.7,12.8,14.12.1990,12.05.1993,,False
16,ENOCH,1.5,0.3,01.07.2005,30.05.2007,,False
17,FLYNDRE,1.0,0.4,23.05.2014,,,False
18,FRAM,75.8,34.5,23.03.2001,01.10.2003,,False
19,FRAM H-NORD,5.7,0.7,07.06.2013,05.09.2014,,False
20,FRIGG,0.0,0.0,13.06.1974,12.09.1977,26.10.2004,True
21,FRØY,34.0,5.6,18.05.1992,15.05.1995,05.03.2001,True
22,GAUPE,10.5,0.2,25.06.2010,30.03.2012,,False
23,GIMLE,8.5,3.0,18.05.2006,18.05.2006,,False
24,GINA KROG,26.5,15.3,21.05.2013,,,False
25,GJØA,39.5,11.8,14.06.2007,06.11.2010,,False
26,GLITNE,19.7,8.9,08.09.2000,28.08.2001,24.02.2013,True
27,GOLIAT,91.3,28.5,18.06.2009,,,False
28,GRANE,220.0,142.4,14.06.2000,22.09.2003,,False
29,GUDRUN,38.2,15.3,16.06.2010,06.04.2014,,False
30,GULLFAKS,609.6,374.5,09.10.1981,22.12.1986,,False
31,GULLFAKS SØR,163.9,62.8,29.03.1996,10.10.1998,,False
32,GUNGNE,0.0,0.2,29.08.1995,21.04.1996,,False
33,GYDA,90.2,36.5,02.06.1987,21.06.1990,,False
34,HANZ,5.1,2.6,21.05.2013,,,False
35,HEIDRUN,432.0,183.3,14.05.1991,18.10.1995,,False
36,HEIMDAL,0.0,6.5,10.06.1981,12.12.1985,15.11.2011,True
37,HOD,93.2,10.5,26.06.1988,30.09.1990,,False
38,HULDRA,0.0,5.2,02.02.1999,20.11.2001,03.09.2014,True
39,HYME,8.9,4.1,24.06.2011,01.03.2013,,False
40,ISLAY,0.0,0.0,05.07.2010,09.04.2012,,False
41,IVAR AASEN,53.9,23.9,21.05.2013,,,False
42,JETTE,6.5,1.0,17.02.2012,19.05.2013,,False
43,JOTUN,43.8,23.4,10.06.1997,25.10.1999,,False
44,KNARR,27.2,11.4,09.06.2011,,,False
45,KRISTIN,70.4,22.9,17.12.2001,02.11.2005,,False
46,KVITEBJØRN,84.0,28.1,14.06.2000,25.09.2004,,False
47,LILLE-FRIGG,4.2,1.3,06.09.1991,13.05.1994,25.03.1999,True
48,MARTIN LINGE,18.0,5.9,11.06.2012,,,False
49,MARULK,0.0,0.5,15.07.2010,01.04.2012,,False
50,MIKKEL,0.0,6.2,14.09.2001,31.07.2003,,False
51,MIME,15.9,0.4,06.11.1992,31.12.1992,04.11.1993,True
52,MORVIN,35.6,10.8,25.04.2008,31.07.2010,,False
53,MURCHISON,27.0,13.9,15.12.1976,27.09.1980,31.03.2014,True
54,NJORD,131.7,29.5,12.06.1995,30.09.1997,,False
55,NORDØST FRIGG,0.0,0.0,12.09.1980,01.12.1983,08.05.1993,True
56,NORNE,157.0,90.8,09.03.1995,06.11.1997,,False
57,ODIN,13.2,0.0,18.07.1980,01.04.1984,01.08.1994,True
58,ORMEN LANGE,0.0,0.0,02.04.2004,12.09.2007,,False
59,OSEBERG,636.7,392.4,05.06.1984,01.12.1988,,False
60,OSEBERG SØR,248.4,68.2,10.06.1997,05.02.2000,,False
61,OSEBERG ØST,84.6,25.7,11.10.1996,03.05.1999,,False
62,OSELVAR,2.1,0.9,19.06.2009,13.04.2012,,False
63,REV,0.0,0.7,15.06.2007,23.01.2009,,False
64,RINGHORNE ØST,37.5,15.2,10.11.2005,18.03.2006,,False
65,SIGYN,0.0,0.1,31.08.2001,22.12.2002,,False
66,SKARV,32.0,13.7,18.12.2007,31.12.2012,,False
67,SKIRNE,4.9,2.3,05.07.2002,02.03.2004,,False
68,SKULD,25.5,5.6,20.01.2012,18.03.2013,,False
69,SLEIPNER VEST,0.0,3.4,14.12.1992,29.08.1996,,False
70,SLEIPNER ØST,0.0,0.2,15.12.1986,24.08.1993,,False
71,SNORRE,556.0,259.5,27.05.1988,03.08.1992,,False
72,SNØHVIT,0.0,0.0,07.03.2002,20.08.2007,,False
73,STATFJORD,859.8,573.7,16.06.1976,24.11.1979,,False
74,STATFJORD NORD,72.8,42.6,11.12.1990,23.01.1995,,False
75,STATFJORD ØST,65.2,36.9,11.12.1990,24.09.1994,,False
76,SVALIN,16.5,7.4,23.11.2012,23.03.2014,,False
77,SYGNA,20.8,11.1,30.04.1999,01.08.2000,,False
78,TAMBAR,32.3,10.0,03.04.2000,15.07.2001,,False
79,TAMBAR ØST,8.2,0.3,28.06.2007,01.10.2007,,False
80,TOMMELITEN GAMMA,12.1,3.9,12.06.1986,03.10.1988,05.08.1998,True
81,TOR,119.8,24.4,04.05.1973,28.06.1978,,False
82,TORDIS,112.6,64.2,14.05.1991,03.06.1994,,False
83,TROLL,663.5,281.2,15.12.1986,19.09.1995,,False
84,TRYM,0.0,1.6,26.03.2010,11.02.2011,,False
85,TUNE,1.8,3.4,17.12.1999,28.11.2002,,False
86,TYRIHANS,66.8,35.3,16.02.2006,07.07.2009,,False
87,ULA,155.0,84.1,30.05.1980,06.10.1986,,False
88,URD,25.7,7.1,02.07.2004,07.11.2005,,False
89,VALE,0.0,2.5,23.03.2001,31.05.2002,,False
90,VALEMON,23.0,4.7,09.06.2011,02.01.2015,,False
91,VALHALL,435.2,148.5,02.06.1977,02.10.1982,,False
92,VARG,42.5,16.5,03.05.1996,22.12.1998,,False
93,VEGA,5.9,7.9,14.06.2007,01.12.2010,,False
94,VESLEFRIKK,120.6,54.8,02.06.1987,26.12.1989,,False
95,VEST EKOFISK,84.5,12.2,04.05.1973,31.05.1977,25.08.1998,True
96,VIGDIS,137.5,70.3,16.12.1994,28.01.1997,,False
97,VILJE,22.9,13.4,18.03.2005,31.07.2008,,False
98,VISUND,91.2,35.5,29.03.1996,21.04.1999,,False
99,VISUND SØR,12.4,3.0,10.06.2011,21.11.2012,,False
100,VOLUND,21.7,10.3,18.01.2007,09.09.2009,,False
101,VOLVE,18.7,9.7,22.04.2005,11.02.2008,,False
102,YME,46.4,7.9,06.01.1995,26.02.1996,17.04.2001,True
103,YME,46.4,7.9,11.05.2007,11.12.2014,17.04.2001,True
104,YTTERGRYTA,0.0,0.3,21.05.2008,04.01.2009,29.06.2013,True
105,ØST FRIGG,0.0,0.0,14.12.1984,01.10.1988,22.12.1997,True
106,ÅSGARD,175.4,102.5,14.06.1996,19.05.1999,,False
107,AASTA HANSTEEN,0.0,0.0,07.06.2013,,,False
